Date,Open,High,Low,Close
1/6/23,14.9825,15.4375,14.6225,15.025
1/9/23,15.025,15.3775,14.53,14.6525
1/10/23,14.6525,15.935,14.5625,15.51
1/11/23,15.51,16.225,15.115,15.435
1/12/23,15.435,16.0425,14.4175,15.275
1/13/23,15.275,15.6025,14.395,14.46
1/16/23,14.46,15.3625,14.46,15.0225
1/17/23,15.0225,15.31,13.84,14.59
1/18/23,14.59,14.75,12.4725,14.3725
1/19/23,14.3725,14.8325,13.8925,13.96
1/20/23,13.96,14.185,11.6425,13.7875
1/23/23,13.7875,14.26,13.48,13.6175
1/24/23,13.6175,13.81,13.3,13.6575
1/25/23,13.6575,15.4225,13.5175,14.655
1/27/23,14.655,18.0125,14.5825,17.32
1/30/23,17.32,19.39,17.29,17.71
1/31/23,17.71,18.3675,16.565,16.875
2/1/23,16.875,18.54,14.8475,16.78
2/2/23,16.78,17.7675,15.5075,15.7325
2/3/23,15.7325,15.7575,14.27,14.3975
2/6/23,14.3975,15.205,14.185,14.6875
2/7/23,14.6875,14.875,13.665,14.125
2/8/23,14.125,14.2475,13.535,13.595
2/9/23,13.595,13.815,12.0625,13.04
2/10/23,13.04,13.2775,12.2075,12.745
2/13/23,12.745,14.095,11.83,13.68
2/14/23,13.68,13.68,12.4525,13.4525
2/15/23,13.4525,13.4525,11.28,12.86
2/16/23,12.86,13.1625,10.1725,12.89
2/17/23,12.89,13.52,10.8025,13.085
2/20/23,13.085,13.7075,10.9225,13.3825
2/21/23,13.3825,14.295,13.3825,14.0075
2/22/23,14.0075,15.915,12.3775,15.5875
2/23/23,15.5875,16.01,14.5175,15.075
2/24/23,15.075,15.1425,14.0075,14.185
2/27/23,14.185,15.0975,13.75,13.875
2/28/23,13.875,14.5675,13.5,14.02
3/1/23,14.02,14.02,12.275,12.995
3/2/23,12.995,13.55,11.1,12.97
3/3/23,12.97,12.97,11.98,12.18
3/6/23,12.18,12.4725,11.8375,12.2675
3/8/23,12.2675,12.8475,11.8975,12.45
3/9/23,12.45,12.8425,11.78,12.725
3/10/23,12.725,13.8175,12.725,13.4125
3/13/23,13.4125,16.4275,13.4125,16.215
3/14/23,16.215,16.6425,15.0025,16.2175
3/15/23,16.2175,16.505,14.5175,16.295
3/16/23,16.295,17.355,13.95,16.2175
3/17/23,16.2175,16.2175,14.6,14.7675
3/20/23,14.7675,17.22,14.52,16.0075
3/21/23,16.0075,16.035,14.0825,15.0825
3/22/23,15.0825,15.0925,14.2425,14.8075
3/23/23,14.8075,15.0575,13.9025,14.49
3/24/23,14.49,15.43,14.2025,15.24
3/27/23,15.24,16.0925,15.0975,15.445
3/28/23,15.445,15.6075,14.865,15.1
3/29/23,15.1,15.1,13.32,13.6275
3/31/23,13.6275,13.6275,12.0725,12.935
4/3/23,12.935,13.49,12.465,12.585
4/5/23,12.585,12.805,12.0525,12.4125
4/6/23,12.4125,12.57,11.65,11.7975
4/10/23,11.7975,12.5625,11.7975,12.2725
4/11/23,12.2725,12.2725,11.665,11.975
4/12/23,11.975,12.395,11.975,12.2725
4/13/23,12.2725,12.51,11.84,11.9075
4/17/23,11.9075,13.2725,11.9075,12.265
4/18/23,12.265,12.525,11.8625,12.075
4/19/23,12.075,12.47,11.1075,12.1525
4/20/23,12.1525,12.3975,11.58,11.94
4/21/23,11.94,12.04,11.52,11.63
4/24/23,11.63,12.205,11.58,11.6675
4/25/23,11.6675,11.8125,11.425,11.52
4/26/23,11.52,11.8975,11.2975,11.6525
4/27/23,11.6525,12.02,10.96,11.425
4/28/23,11.425,11.5425,10.7875,10.9475
5/2/23,10.9475,12.0625,10.9475,11.8975
5/3/23,11.8975,12.25,11.13,11.84
5/4/23,11.84,12.03,11.185,11.7325
5/5/23,11.7325,12.375,11.53,12.295
5/8/23,12.295,12.91,11.7225,12.635
5/9/23,12.635,12.815,11.6575,12.6775
